Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/api/tasks/69ba6b9acfc15ea9c122ac68,1,0,187.29797400010284,187.29797400010284,187.29797400010284,187.29797400010284,31.0,0.017339164950200662,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/tasks/69ba6b9acfc15ea9c122ac68,1,0,797.4330649999501,797.4330649999501,797.4330649999501,797.4330649999501,186.0,0.017339164950200662,0.0,800,800,800,800,800,800,800,800,800,800,800
PATCH,/api/tasks/69ba6b9acfc15ea9c122ac68,1,1,44.709219000196754,44.709219000196754,44.709219000196754,44.709219000196754,42.0,0.017339164950200662,0.017339164950200662,45,45,45,45,45,45,45,45,45,45,45
DELETE,/api/tasks/69ba6b9acfc15ea9c122ac69,1,0,200.38791699971625,200.38791699971625,200.38791699971625,200.38791699971625,31.0,0.017339164950200662,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/tasks/69ba6b9acfc15ea9c122ac69,1,0,441.64369300006,441.64369300006,441.64369300006,441.64369300006,186.0,0.017339164950200662,0.0,440,440,440,440,440,440,440,440,440,440,440
PATCH,/api/tasks/69ba6b9acfc15ea9c122ac69,1,1,42.86939099984011,42.86939099984011,42.86939099984011,42.86939099984011,42.0,0.017339164950200662,0.017339164950200662,43,43,43,43,43,43,43,43,43,43,43
DELETE,/api/tasks/69ba6b9acfc15ea9c122ac6a,1,0,225.2027160002399,225.2027160002399,225.2027160002399,225.2027160002399,31.0,0.017339164950200662,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/tasks/69ba6b9acfc15ea9c122ac6a,1,0,443.72599200005425,443.72599200005425,443.72599200005425,443.72599200005425,186.0,0.017339164950200662,0.0,440,440,440,440,440,440,440,440,440,440,440
PATCH,/api/tasks/69ba6b9acfc15ea9c122ac6a,1,1,44.169258999772865,44.169258999772865,44.169258999772865,44.169258999772865,42.0,0.017339164950200662,0.017339164950200662,44,44,44,44,44,44,44,44,44,44,44
DELETE,/api/tasks/69ba6b9acfc15ea9c122ac6b,1,0,224.81041999981244,224.81041999981244,224.81041999981244,224.81041999981244,31.0,0.017339164950200662,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/tasks/69ba6b9acfc15ea9c122ac6b,1,0,443.79300100035834,443.79300100035834,443.79300100035834,443.79300100035834,186.0,0.017339164950200662,0.0,440,440,440,440,440,440,440,440,440,440,440
PATCH,/api/tasks/69ba6b9acfc15ea9c122ac6b,1,1,44.160248000025604,44.160248000025604,44.160248000025604,44.160248000025604,42.0,0.017339164950200662,0.017339164950200662,44,44,44,44,44,44,44,44,44,44,44
DELETE,/api/tasks/69ba6b9acfc15ea9c122ac6c,1,0,216.2824320002983,216.2824320002983,216.2824320002983,216.2824320002983,31.0,0.017339164950200662,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/tasks/69ba6b9acfc15ea9c122ac6c,1,0,443.1519429999753,443.1519429999753,443.1519429999753,443.1519429999753,186.0,0.017339164950200662,0.0,440,440,440,440,440,440,440,440,440,440,440
PATCH,/api/tasks/69ba6b9acfc15ea9c122ac6c,1,1,41.64019500012728,41.64019500012728,41.64019500012728,41.64019500012728,42.0,0.017339164950200662,0.017339164950200662,42,42,42,42,42,42,42,42,42,42,42
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac6d,1,0,121.1976939998749,121.1976939998749,121.1976939998749,121.1976939998749,31.0,0.017339164950200662,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/tasks/69ba6b9bcfc15ea9c122ac6d,1,0,173.1348949997482,173.1348949997482,173.1348949997482,173.1348949997482,186.0,0.017339164950200662,0.0,170,170,170,170,170,170,170,170,170,170,170
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac6d,1,1,30.77720600003886,30.77720600003886,30.77720600003886,30.77720600003886,42.0,0.017339164950200662,0.017339164950200662,31,31,31,31,31,31,31,31,31,31,31
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac6e,1,0,113.71559800045361,113.71559800045361,113.71559800045361,113.71559800045361,31.0,0.017339164950200662,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/tasks/69ba6b9bcfc15ea9c122ac6e,1,0,178.99193899984311,178.99193899984311,178.99193899984311,178.99193899984311,186.0,0.017339164950200662,0.0,180,180,180,180,180,180,180,180,180,180,180
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac6e,1,1,28.641715000048862,28.641715000048862,28.641715000048862,28.641715000048862,42.0,0.017339164950200662,0.017339164950200662,29,29,29,29,29,29,29,29,29,29,29
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac6f,1,0,204.23614799983625,204.23614799983625,204.23614799983625,204.23614799983625,31.0,0.017339164950200662,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/api/tasks/69ba6b9bcfc15ea9c122ac6f,1,0,195.11479699986012,195.11479699986012,195.11479699986012,195.11479699986012,186.0,0.017339164950200662,0.0,200,200,200,200,200,200,200,200,200,200,200
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac6f,1,1,36.5162230000351,36.5162230000351,36.5162230000351,36.5162230000351,42.0,0.017339164950200662,0.017339164950200662,37,37,37,37,37,37,37,37,37,37,37
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac70,1,0,223.95173199993224,223.95173199993224,223.95173199993224,223.95173199993224,31.0,0.017339164950200662,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/tasks/69ba6b9bcfc15ea9c122ac70,1,0,195.5879309998636,195.5879309998636,195.5879309998636,195.5879309998636,186.0,0.017339164950200662,0.0,200,200,200,200,200,200,200,200,200,200,200
PATCH,/api/tasks/69ba6b9bcfc15ea9c122ac70,1,1,31.160789000296063,31.160789000296063,31.160789000296063,31.160789000296063,42.0,0.017339164950200662,0.017339164950200662,31,31,31,31,31,31,31,31,31,31,31
DELETE,/api/tasks/69ba6b9bcfc15ea9c122ac71,1,0,46.048042999700556,46.048042999700556,46.048042999700556,46.048042999700556,31.0,0.017339164950200662,0.0,46,46,46,46,46,46,46,46,46,46,46
