Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/tasks/69ba75c8cfc15ea9c122ade5,1,0,195.55235099960555,195.55235099960555,195.55235099960555,195.55235099960555,186.0,0.03437895344165635,0.0,200,200,200,200,200,200,200,200,200,200,200
PATCH,/api/tasks/69ba75c8cfc15ea9c122ade5,1,1,73.9966840001216,73.9966840001216,73.9966840001216,73.9966840001216,42.0,0.03437895344165635,0.03437895344165635,74,74,74,74,74,74,74,74,74,74,74
DELETE,/api/tasks/69ba75c8cfc15ea9c122ade6,1,0,71.42695400034427,71.42695400034427,71.42695400034427,71.42695400034427,31.0,0.03437895344165635,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/api/tasks/69ba75c8cfc15ea9c122ade6,1,0,196.5038749995074,196.5038749995074,196.5038749995074,196.5038749995074,186.0,0.03437895344165635,0.0,200,200,200,200,200,200,200,200,200,200,200
PATCH,/api/tasks/69ba75c8cfc15ea9c122ade6,1,1,71.33965600041847,71.33965600041847,71.33965600041847,71.33965600041847,42.0,0.03437895344165635,0.03437895344165635,71,71,71,71,71,71,71,71,71,71,71
DELETE,/api/tasks/69ba75c8cfc15ea9c122ade7,1,0,76.07395900049596,76.07395900049596,76.07395900049596,76.07395900049596,31.0,0.03437895344165635,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/api/tasks/69ba75c8cfc15ea9c122ade7,1,0,164.86497699952452,164.86497699952452,164.86497699952452,164.86497699952452,186.0,0.03437895344165635,0.0,160,160,160,160,160,160,160,160,160,160,160
PATCH,/api/tasks/69ba75c8cfc15ea9c122ade7,1,1,100.54516099989996,100.54516099989996,100.54516099989996,100.54516099989996,42.0,0.03437895344165635,0.03437895344165635,100,100,100,100,100,100,100,100,100,100,100
DELETE,/api/tasks/69ba75c8cfc15ea9c122ade8,1,0,60.24311700002727,60.24311700002727,60.24311700002727,60.24311700002727,31.0,0.03437895344165635,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/tasks/69ba75c8cfc15ea9c122ade8,1,0,199.4102100006785,199.4102100006785,199.4102100006785,199.4102100006785,186.0,0.03437895344165635,0.0,200,200,200,200,200,200,200,200,200,200,200
PATCH,/api/tasks/69ba75c8cfc15ea9c122ade8,1,1,73.06024300032732,73.06024300032732,73.06024300032732,73.06024300032732,42.0,0.03437895344165635,0.03437895344165635,73,73,73,73,73,73,73,73,73,73,73
DELETE,/api/tasks/69ba75c8cfc15ea9c122ade9,1,0,60.347005000039644,60.347005000039644,60.347005000039644,60.347005000039644,31.0,0.03437895344165635,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/tasks/69ba75c8cfc15ea9c122ade9,1,0,157.36856599960447,157.36856599960447,157.36856599960447,157.36856599960447,186.0,0.03437895344165635,0.0,160,160,160,160,160,160,160,160,160,160,160
PATCH,/api/tasks/69ba75c8cfc15ea9c122ade9,1,1,67.40226399961102,67.40226399961102,67.40226399961102,67.40226399961102,42.0,0.03437895344165635,0.03437895344165635,67,67,67,67,67,67,67,67,67,67,67
DELETE,/api/tasks/69ba75c8cfc15ea9c122adea,1,0,498.91493399991305,498.91493399991305,498.91493399991305,498.91493399991305,31.0,0.03437895344165635,0.0,500,500,500,500,500,500,500,500,500,500,500
GET,/api/tasks/69ba75c8cfc15ea9c122adea,1,0,49.58699600047112,49.58699600047112,49.58699600047112,49.58699600047112,186.0,0.03437895344165635,0.0,50,50,50,50,50,50,50,50,50,50,50
PATCH,/api/tasks/69ba75c8cfc15ea9c122adea,1,1,67.90295100017829,67.90295100017829,67.90295100017829,67.90295100017829,42.0,0.03437895344165635,0.03437895344165635,68,68,68,68,68,68,68,68,68,68,68
DELETE,/api/tasks/69ba75c8cfc15ea9c122adeb,1,0,272.7834509996683,272.7834509996683,272.7834509996683,272.7834509996683,31.0,0.03437895344165635,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/tasks/69ba75c8cfc15ea9c122adeb,1,0,25.623278999773902,25.623278999773902,25.623278999773902,25.623278999773902,186.0,0.03437895344165635,0.0,26,26,26,26,26,26,26,26,26,26,26
PATCH,/api/tasks/69ba75c8cfc15ea9c122adeb,1,1,34.68308900028205,34.68308900028205,34.68308900028205,34.68308900028205,42.0,0.03437895344165635,0.03437895344165635,35,35,35,35,35,35,35,35,35,35,35
DELETE,/api/tasks/69ba75c8cfc15ea9c122adec,1,0,52.9652459999852,52.9652459999852,52.9652459999852,52.9652459999852,31.0,0.03437895344165635,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/api/tasks/69ba75c8cfc15ea9c122adec,1,0,304.73117899964564,304.73117899964564,304.73117899964564,304.73117899964564,186.0,0.03437895344165635,0.0,300,300,300,300,300,300,300,300,300,300,300
PATCH,/api/tasks/69ba75c8cfc15ea9c122adec,1,1,23.819664000257035,23.819664000257035,23.819664000257035,23.819664000257035,42.0,0.03437895344165635,0.03437895344165635,24,24,24,24,24,24,24,24,24,24,24
DELETE,/api/tasks/69ba75c8cfc15ea9c122aded,1,0,55.750593000084336,55.750593000084336,55.750593000084336,55.750593000084336,31.0,0.03437895344165635,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/api/tasks/69ba75c8cfc15ea9c122aded,1,0,255.29098399965733,255.29098399965733,255.29098399965733,255.29098399965733,186.0,0.03437895344165635,0.0,260,260,260,260,260,260,260,260,260,260,260
PATCH,/api/tasks/69ba75c8cfc15ea9c122aded,1,1,68.70036100008292,68.70036100008292,68.70036100008292,68.70036100008292,42.0,0.03437895344165635,0.03437895344165635,69,69,69,69,69,69,69,69,69,69,69
DELETE,/api/tasks/69ba75c8cfc15ea9c122adee,1,0,32.42610000052082,32.42610000052082,32.42610000052082,32.42610000052082,31.0,0.03437895344165635,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/tasks/69ba75c8cfc15ea9c122adee,1,0,40.73574700032623,40.73574700032623,40.73574700032623,40.73574700032623,186.0,0.03437895344165635,0.0,41,41,41,41,41,41,41,41,41,41,41
